Company,ID,Title,Difficulty,Acceptance,Frequency,LeetCodeLink
Amazon,125,Valid Palindrome,Easy,36.7%,0.7351769408009121,https://leetcode.com/problems/valid-palindrome
Amazon,1197,Minimum Knight Moves,Medium,36.1%,0.7348429454547184,https://leetcode.com/problems/minimum-knight-moves
Amazon,662,Maximum Width of Binary Tree,Medium,41.0%,0.7347174711149875,https://leetcode.com/problems/maximum-width-of-binary-tree
Amazon,1083,Sales Analysis II,Easy,50.5%,0.7337661087783554,https://leetcode.com/problems/sales-analysis-ii
Amazon,83,Remove Duplicates from Sorted List,Easy,45.4%,0.730981926104529,https://leetcode.com/problems/remove-duplicates-from-sorted-list
Amazon,40,Combination Sum II,Medium,48.2%,0.7232478059561983,https://leetcode.com/problems/combination-sum-ii
Amazon,1215,Stepping Numbers,Medium,41.6%,0.7221347174331976,https://leetcode.com/problems/stepping-numbers
Amazon,735,Asteroid Collision,Medium,41.0%,0.7215266298498505,https://leetcode.com/problems/asteroid-collision
Amazon,82,Remove Duplicates from Sorted List II,Medium,36.8%,0.7214631006772332,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
Amazon,310,Minimum Height Trees,Medium,32.3%,0.7161015166290298,https://leetcode.com/problems/minimum-height-trees
Amazon,737,Sentence Similarity II,Medium,45.8%,0.7142005897577777,https://leetcode.com/problems/sentence-similarity-ii
