ID,Title,Difficulty,Acceptance,Companies,CompanyCount,AvgFrequency,LeetCodeLink
549,Binary Tree Longest Consecutive Sequence II,Medium,47.0%,"Amazon, Apple, Facebook, Google, Meta",5,0.73,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii
729,My Calendar I,Medium,51.8%,"Amazon, Apple, Google, Microsoft, Uber",5,0.722,https://leetcode.com/problems/my-calendar-i
352,Data Stream as Disjoint Intervals,Hard,47.3%,"Amazon, Facebook, Google, Meta, Oracle",5,0.717,https://leetcode.com/problems/data-stream-as-disjoint-intervals
223,Rectangle Area,Medium,37.8%,"Apple, Facebook, Meta, Microsoft, Nvidia",5,0.706,https://leetcode.com/problems/rectangle-area
111,Minimum Depth of Binary Tree,Easy,37.4%,"Amazon, Apple, Facebook, Meta, Microsoft",5,0.672,https://leetcode.com/problems/minimum-depth-of-binary-tree
452,Minimum Number of Arrows to Burst Balloons,Medium,49.6%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.658,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons
1027,Longest Arithmetic Sequence,Medium,53.4%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.654,https://leetcode.com/problems/longest-arithmetic-sequence
137,Single Number II,Medium,52.4%,"Adobe, Amazon, Facebook, Google, Meta",5,0.639,https://leetcode.com/problems/single-number-ii
188,Best Time to Buy and Sell Stock IV,Hard,28.0%,"Amazon, Apple, Facebook, Google, Meta",5,0.631,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
895,Maximum Frequency Stack,Hard,60.6%,"Amazon, Apple, Google, Microsoft, Uber",5,0.612,https://leetcode.com/problems/maximum-frequency-stack
307,Range Sum Query - Mutable,Medium,34.6%,"Amazon, Facebook, Google, Meta, X",5,0.594,https://leetcode.com/problems/range-sum-query-mutable
129,Sum Root to Leaf Numbers,Medium,49.1%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.574,https://leetcode.com/problems/sum-root-to-leaf-numbers
554,Brick Wall,Medium,50.0%,"Adobe, Facebook, Google, Meta, Oracle",5,0.565,https://leetcode.com/problems/brick-wall
177,Nth Highest Salary,Medium,31.4%,"Adobe, Amazon, Apple, Google, Uber",5,0.563,https://leetcode.com/problems/nth-highest-salary
855,Exam Room,Medium,43.1%,"Amazon, Facebook, Google, Meta, Uber",5,0.543,https://leetcode.com/problems/exam-room
189,Rotate Array,Easy,34.7%,"Amazon, Facebook, Meta, Microsoft, Uber",5,0.543,https://leetcode.com/problems/rotate-array
337,House Robber III,Medium,50.6%,"Amazon, Facebook, Google, Meta, Uber",5,0.524,https://leetcode.com/problems/house-robber-iii
328,Odd Even Linked List,Medium,55.7%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.5,https://leetcode.com/problems/odd-even-linked-list
752,Open the Lock,Medium,51.8%,"Amazon, Facebook, Google, Meta, Uber",5,0.496,https://leetcode.com/problems/open-the-lock
1044,Longest Duplicate Substring,Hard,31.9%,"Amazon, Apple, Google, Microsoft, Oracle",5,0.476,https://leetcode.com/problems/longest-duplicate-substring
983,Minimum Cost For Tickets,Medium,60.5%,"Amazon, Facebook, Google, Meta, Uber",5,0.455,https://leetcode.com/problems/minimum-cost-for-tickets
934,Shortest Bridge,Medium,48.2%,"Facebook, Google, Meta, Microsoft, Uber",5,0.451,https://leetcode.com/problems/shortest-bridge
82,Remove Duplicates from Sorted List II,Medium,36.8%,"Adobe, Amazon, Apple, Google, Microsoft",5,0.432,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
131,Palindrome Partitioning,Medium,47.5%,"Adobe, Amazon, Google, Microsoft, Uber",5,0.432,https://leetcode.com/problems/palindrome-partitioning
969,Pancake Sorting,Medium,67.5%,"Amazon, Facebook, Meta, Microsoft, Uber",5,0.42,https://leetcode.com/problems/pancake-sorting
787,Cheapest Flights Within K Stops,Medium,39.3%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.4,https://leetcode.com/problems/cheapest-flights-within-k-stops
889,Construct Binary Tree from Preorder and Postorder Traversal,Medium,66.2%,"Amazon, Facebook, Google, Meta, Uber",5,0.397,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal
653,Two Sum IV - Input is a BST,Easy,55.5%,"Amazon, Facebook, Meta, Microsoft, Samsung",5,0.391,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
310,Minimum Height Trees,Medium,32.3%,"Amazon, Apple, Facebook, Google, Meta",5,0.39,https://leetcode.com/problems/minimum-height-trees
231,Power of Two,Easy,43.7%,"Amazon, Apple, Google, Microsoft, Nvidia",5,0.384,https://leetcode.com/problems/power-of-two
726,Number of Atoms,Hard,49.0%,"Adobe, Amazon, Facebook, Google, Meta",5,0.341,https://leetcode.com/problems/number-of-atoms
303,Range Sum Query - Immutable,Easy,44.7%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.31,https://leetcode.com/problems/range-sum-query-immutable
875,Koko Eating Bananas,Medium,52.1%,"Adobe, Amazon, Facebook, Google, Meta",5,0.295,https://leetcode.com/problems/koko-eating-bananas
1229,Meeting Scheduler,Medium,52.7%,"Amazon, Apple, Google, Microsoft, Uber",5,0.287,https://leetcode.com/problems/meeting-scheduler
993,Cousins in Binary Tree,Easy,52.0%,"Adobe, Amazon, Facebook, Meta, Microsoft",5,0.282,https://leetcode.com/problems/cousins-in-binary-tree
1236,Web Crawler,Medium,64.3%,"Amazon, Facebook, Meta, Microsoft, Oracle",5,0.277,https://leetcode.com/problems/web-crawler
219,Contains Duplicate II,Easy,37.7%,"Adobe, Amazon, Apple, Google, Microsoft",5,0.265,https://leetcode.com/problems/contains-duplicate-ii
827,Making A Large Island,Hard,45.7%,"Amazon, Facebook, Google, Meta, Uber",5,0.255,https://leetcode.com/problems/making-a-large-island
1008,Construct Binary Search Tree from Preorder Traversal,Medium,78.4%,"Amazon, Facebook, Meta, Microsoft, Oracle",5,0.25,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal
509,Fibonacci Number,Easy,67.2%,"Amazon, Apple, Facebook, Meta, Microsoft",5,0.249,https://leetcode.com/problems/fibonacci-number
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,47.2%,"Amazon, Facebook, Meta, Microsoft, X",5,0.238,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
371,Sum of Two Integers,Medium,50.7%,"Amazon, Apple, Facebook, Google, Meta",5,0.237,https://leetcode.com/problems/sum-of-two-integers
178,Rank Scores,Medium,45.8%,"Adobe, Amazon, Apple, Facebook, Meta",5,0.233,https://leetcode.com/problems/rank-scores
1062,Longest Repeating Substring,Medium,57.2%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.232,https://leetcode.com/problems/longest-repeating-substring
414,Third Maximum Number,Easy,30.5%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.213,https://leetcode.com/problems/third-maximum-number
1047,Remove All Adjacent Duplicates In String,Easy,68.6%,"Amazon, Facebook, Google, Meta, Oracle",5,0.183,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string
701,Insert into a Binary Search Tree,Medium,77.7%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.179,https://leetcode.com/problems/insert-into-a-binary-search-tree
796,Rotate String,Easy,49.6%,"Amazon, Apple, LinkedIn, Microsoft, Oracle",5,0.177,https://leetcode.com/problems/rotate-string
1114,Print in Order,Easy,65.7%,"Adobe, Amazon, Apple, Google, Microsoft",5,0.148,https://leetcode.com/problems/print-in-order
35,Search Insert Position,Easy,42.6%,"Adobe, Amazon, Apple, Google, Microsoft",5,0.148,https://leetcode.com/problems/search-insert-position
107,Binary Tree Level Order Traversal II,Easy,53.5%,"Adobe, Amazon, Apple, Microsoft, Oracle",5,0.141,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
886,Possible Bipartition,Medium,44.2%,"Apple, Facebook, Google, Meta, Microsoft",5,0.14,https://leetcode.com/problems/possible-bipartition
1143,Longest Common Subsequence,Medium,58.4%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.135,https://leetcode.com/problems/longest-common-subsequence
1019,Next Greater Node In Linked List,Medium,57.4%,"Amazon, Facebook, Meta, Microsoft, Uber",5,0.135,https://leetcode.com/problems/next-greater-node-in-linked-list
654,Maximum Binary Tree,Medium,79.9%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.125,https://leetcode.com/problems/maximum-binary-tree
404,Sum of Left Leaves,Easy,50.9%,"Adobe, Amazon, Facebook, Google, Meta",5,0.075,https://leetcode.com/problems/sum-of-left-leaves
